排期ID	入口层ID	[排期]1层ID	[排期]1开启时间	[排期]2层ID	[排期]2开启时间	[排期]3层ID	[排期]3开启时间	[排期]4层ID	[排期]4开启时间	结束时间	奖励组ID	月纪念奖励	月度增益
1	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-17 04:00:00							2023-10-17 15:59:59	1		1050
2	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-17 16:00:00							2023-10-18 03:59:59	1		1050
3	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-18 04:00:00							2023-10-18 15:59:59	1		1050
4	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-18 16:00:00							2023-10-19 03:59:59	1		1050
5	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-19 04:00:00							2023-10-19 15:59:59	1		1050
6	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-19 16:00:00							2023-10-20 03:59:59	1		1050
7	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-20 04:00:00							2023-10-20 15:59:59	1		1051
8	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-20 16:00:00							2023-10-21 03:59:59	1		1051
9	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-21 04:00:00							2023-10-21 15:59:59	1		1052
10	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-21 16:00:00							2023-10-22 03:59:59	1		1310
11	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-22 04:00:00							2023-10-22 15:59:59	1		1311
12	1001,1002,1003,1004,1005,1006,1007,1008	1009,1010,1011,1012	2023-10-22 16:00:00							2023-10-23 03:59:59	1		1312
13	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-10-23 04:00:00							2023-10-23 15:59:59	1		1317
14	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-10-23 16:00:00							2023-10-24 03:59:59	1		1318
15	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1016	2023-10-24 04:00:00							2023-10-24 15:59:59	1		1319
16	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-10-24 16:00:00							2023-10-25 03:59:59	1		1357
17	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-10-25 04:00:00							2023-10-25 15:59:59	1		1358
18	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-10-25 16:00:00							2023-10-26 03:59:59	1		1359
19	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-10-26 04:00:00							2023-10-26 15:59:59	1		1366
20	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1015,1017	2023-10-26 16:00:00							2023-10-27 03:59:59	1		1367
21	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-10-27 04:00:00							2023-10-27 15:59:59	1		1382
22	1001,1002,1003,1004,1005,1006,1007,1008	1013,1014,1018,1019	2023-10-27 16:00:00							2023-10-28 03:59:59	1		1383
